Word,Count
,22453
*,10900
the,9333
to,4718
of,3669
a,3045
is,2939
and,2932
in,2029
The,1758
::,1603
for,1517
be,1498
this,1329
***********************************************************************,1244
file,1158
that,1080
if,1052
A,1038
This,1038
or,1025
by,1024
used,964
FreeType,918
you,879
are,791
with,756
it,739
@param,691
as,648
image,636
an,613
glyph,591
not,564
from,534
*************************************************************************,528
function,514
only,501
@see,494
OF,486
data,475
@return,467
font,465
OR,448
face,445
can,444
Returns,440
have,433
<Description>,432
value,424
**,423
****,420
bitmap,415
THE,411
@brief,405
-,403
use,398
error,397
may,391
on,387
otherwise,379
handle,379
number,376
If,362
Copyright,359
object,355
code,354
memory,344
stream,341
all,336
set,335
table,333
read,329
given,324
:,321
under,320
ANY,312
source,304
name,302
part,302
will,302
which,298
structure,295
size,286
TRUE,285
library,282
indicate,279
=,277
/,277
By,277
FALSE,271
pointer,269
);,268
type,266
must,265
\use,\,261
format,254
functions,250
returns,247
license,245
terms,243
at,241
\used,\,241
END,240
should,239
fully,239
\modified,\,238
\modify,\,238
@description:,234
project,232
LICENSE.TXT,231
accept,231
distributed,231
macro,229
\successful,\,229
understand,223
\project,\,219
continuing,219
distribute,219
\license,\,219
array,218
values,216
position,212
texture,212
any,211
when,211
TrueType,208
flag,205
),202
following,202
0,200
list,198
Werner,197
color,197
David,197
------------------------,197
Lemberg,196
It,195
has,195
\Wilhelm,\,194
new,194
Robert,194
\Turner,\,194
its,192
FreeImage,190
-------------------------,187
but,187
index,186
cache,185
one,183
IN,183
load,183
default,181
using,178
@param[in],178
THIS,176
--------------------------,175
@author,175
module,175
---------------------------------------------------------------------------,172
/////////////////////////////////////////////////////////////////////////////////////////////////,171
1,171
outline,171
no,170
defined,169
***,169
current,169
<Input>,167
IS,167
//,167
-----------------------,163
Demian,161
Floreani,161
For,161
more,159
your,157
buffer,156
bytes,154
was,152
AND,150
support,150
point,150
into,150
tag,150
#define,149
call,148
CODE,148
parameter,147
success,146
without,146
some,145
COVERED,145
them,144
input,144
<Note>,143
each,141
(specification),141
field,140
Bit,140
See,140
<Function>,138
files,138
flags,137
matrix,136
fonts,136
also,136
save,135
<Return>,134
output,134
version,131
model,130
other,130
character,130
************************************************************************,128
contains,127
Set,127
Note,127
NULL,127
vertical,127
You,127
than,126
API,126
specific,125
Use,125
mapping,124
channel,123
pixels,123
want,123
need,123
maximum,122
do,121
2013,121
OpenGL,120
horizontal,120
----------------------,120
0~means,118
FOR,117
node,117
None,116
vector,114
driver,114
target,112
documentation,110
there,109
string,109
conditions,108
check,108
within,106
points,106
algorithm,106
glyphs,106
<Struct>,105
compression,105
get,104
Type,104
implementation,104
{,104
we,103
property,103
header,103
above,102
always,102
pixel,101
|,101
corresponding,100
single,99
class,99
called,99
},97
where,97
C,97
32-bit,96
define,96
When,96
these,96
own,95
containing,95
so,95
return,95
hinting,95
definitions,95
copyright,95
integer,94
provided,93
NOT,92
names,92
material,91
hints,91
---------------------------,91
first,90
@input:,90
formats,90
such,89
see,89
In,89
system,89
(c),88
information,88
does,88
width,88
order,87
metrics,87
access,86
FT_CONFIG_OPTION_PIC,86
bit,86
mesh,86
their,85
returned,85
3,84
!<,84
specified,84
light,83
2,83
step,83
GLUT,82
<Fields>,81
means,81
@{,81
USE,81
loader,81
angle,81
@},81
height,81
available,80
loaded,80
An,80
found,80
macros,80
been,80
standard,79
routines,79
VEC3(,79
doesn't,79
types,78
coordinates,78
bits,78
after,78
whether,78
mode,78
same,78
possible,78
length,77
I,77
WARRANTY,77
like,77
through,77
AN,77
WITHOUT,77
then,76
#include,76
parameters,76
between,76
software,76
..,76
case,76
File,75
objects,75
E,75
extension,75
Define,75
up,74
All,74
NO,74
ID,74
loading,74
==========================================================,74
<Type>,74
scene,74
time,73
@note:,73
PURPOSE,73
constants,73
uses,73
before,73
WARRANTIES,73
allocated,73
(see,73
assimp,73
PARTICULAR,73
__EMPTY__,73
SOFTWARE,73
PROVIDED,73
@macro:,73
\"\AS\,73
images,73
Creation,72
tables,72
Work,72
8-bit,71
instead,71
rendering,71
OpenType,70
+,70
build,70
T,70
depends,70
interface,70
charmap,70
BUT,69
\LIABILITY,\,69
LIMITED,69
manager,69
unsigned,69
copy,68
valid,68
2005,68
they,68
OTHER,68
\10.0f,\,68
supported,68
direction,67
user,67
---------------------,67
two,67
method,67
how,67
page,67
free,67
@@,66
*@name,66
RGB,66
binary,66
tone,66
vertex,66
next,65
might,65
\param,65
----------------------------,64
both,64
Image,64
including,63
store,63
result,63
render,63
&,63
Converts,63
don't,62
space,62
To,62
useful,62
here,62
meshes,62
control,62
application,62
Copy,61
@return:,61
compressed,61
key,61
line,61
per,61
encoding,61
Mathematics,61
COPYRIGHT,61
internal,60
Created,60
Get,60
patent,60
@function:,60
configuration,60
global,60
left,60
R,60
rotation,59
Unicode,59
Used,59
count,59
G-Truc,59
These,59
alpha,59
only),59
done,59
(www.g-truc.net),59
LICENSE,58
(specification,58
UNDER,58
Updated,58
Assimp,58
MIT,58
resource,58
DISCLAIMER,58
YOU,58
advance,57
included,57
Licence,57
\),\,57
metadata,57
create,57
try,57
include,56
--------------------,56
