File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\AABB.cpp,313,176,100,25,39,0,98,328,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Camera.cpp,138,55,29,3,15,0,68,216,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Draw.cpp,253,154,106,23,46,0,53,122,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,473,373,218,79,96,0,4,14,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,398,140,74,11,34,0,224,815,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Frustum.cpp,87,51,17,4,12,0,24,125,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\GLCircle.cpp,29,20,12,2,9,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\GLCone.cpp,29,22,11,2,7,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\GLCube.cpp,112,92,88,1,14,0,6,6,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\GLCylinder.cpp,78,55,39,4,18,0,5,14,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\GLModel.cpp,11,8,2,0,3,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\GLPlane.cpp,22,17,13,1,5,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\GLPyramid.cpp,42,32,28,1,9,0,1,1,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\GLSphere.cpp,10,7,1,0,3,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Init.cpp,394,296,227,33,89,2,9,29,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Interpreter.cpp,474,342,228,27,68,0,64,204,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,444,184,91,20,33,0,227,778,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\LuaManager.cpp,203,148,62,22,41,0,14,35,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\MainScene.cpp,238,68,45,4,31,0,139,574,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Material.cpp,154,57,27,8,11,0,86,271,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Mesh.cpp,13,8,2,0,5,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\ModelLoader.cpp,139,96,55,13,34,1,9,59,0,0
