Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,738,124605,61804,26976,1998,20862,3118,41939,221204,7690,42915
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine,738,124605,61804,26976,1998,20862,3118,41939,221204,7690,42915
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External,654,114836,55733,23275,1399,19220,3114,39883,213044,7687,42892
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp,38,11544,4766,1986,175,1732,441,5046,33938,1090,6100
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include,25,7976,2405,878,82,1164,97,4407,29608,993,5820
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp,25,7976,2405,878,82,1164,97,4407,29608,993,5820
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\include\assimp\Compiler,2,65,23,0,0,15,0,27,115,25,95
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples,13,3568,2361,1108,93,568,344,639,4330,97,280
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\DevIL,8,1794,1140,511,0,286,149,368,2017,69,165
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\DevIL\include,8,1794,1140,511,0,286,149,368,2017,69,165
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\DevIL\include\IL,8,1794,1140,511,0,286,149,368,2017,69,165
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\SimpleAssimpViewX,2,159,84,63,0,37,2,38,179,14,29
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\SimpleTexturedOpenGL,2,898,634,401,93,184,180,80,1211,14,86
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\SimpleTexturedOpenGL\SimpleTexturedOpenGL,2,898,634,401,93,184,180,80,1211,14,86
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\SimpleTexturedOpenGL\SimpleTexturedOpenGL\include,1,1,1,0,0,0,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\SimpleTexturedOpenGL\SimpleTexturedOpenGL\src,1,897,633,401,93,184,180,80,1211,14,86
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\glut,1,717,503,133,0,61,13,153,923,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\Assimp\samples\glut\GL,1,717,503,133,0,61,13,153,923,0,0
