File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\AABB.cpp,Demx::AABB::AABB(),3,3,3,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\AABB.cpp,Demx::AABB::~AABB(),1,1,1,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\AABB.cpp,Demx::AABB::reset(),3,3,3,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\AABB.cpp,Demx::AABB::add( const VEC3& p ),15,13,7,6,2,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\AABB.cpp,Demx::AABB::add( const VEC4& p ),15,13,7,6,2,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\AABB.cpp,Demx::AABB::setBounds(),9,9,9,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\AABB.cpp,Demx::AABB::transform( const MAT4& t ),17,13,9,2,4,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\AABB.cpp,Demx::AABB::setup( const std::vector<VEC3>& vertices ),13,10,8,1,3,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\AABB.cpp,Demx::AABB::setup( const std::vector<VEC4>& vertices ),13,10,8,1,3,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\AABB.cpp,Demx::AABB::getPositiveVertex( const VEC3& normal ) const,17,15,9,4,2,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\AABB.cpp,Demx::AABB::getNegativeVertex( const VEC3& normal ) const,17,15,9,4,2,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\AABB.cpp,Demx::AABB::getCenter(),2,2,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\AABB.cpp,Demx::AABB::setCenter(),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\AABB.cpp,Demx::AABB::setupLines(),37,32,20,0,5,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\AABB.cpp,Demx::AABB::drawLines(),3,3,3,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Camera.cpp,Demx::Camera::Camera(void),4,4,4,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Camera.cpp,Demx::Camera::~Camera(void),1,1,1,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Camera.cpp,"Demx::Camera::position( VEC3 pos, VEC3 up )",3,3,3,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Camera.cpp,Demx::Camera::getPosition(),2,2,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Camera.cpp,Demx::Camera::getView(),2,2,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Camera.cpp,Demx::Camera::getUp(),2,2,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Camera.cpp,"Demx::Camera::calculateFromInput( GLuint width, GLuint height )",19,13,9,0,4,0,2,7,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Camera.cpp,Demx::Camera::moveForward( GLfloat speed ),3,3,3,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Camera.cpp,Demx::Camera::moveBackward( GLfloat speed ),3,3,3,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Draw.cpp,Demx::Renderer::draw(),239,148,106,23,43,0,48,114,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::Engine(void),7,6,6,0,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::~Engine(void),1,1,1,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::init( Scene* scene ),67,52,32,13,12,0,3,11,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::update(),13,10,7,4,3,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::render(),2,2,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::close(),2,2,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::cleanUp(),33,27,17,9,5,0,1,3,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,"Demx::Engine::processInput( GLuint msg, WPARAM wParam, LPARAM lParam )",10,9,7,2,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::createAmbientLight( const glm::vec3& color ),4,4,4,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,"Demx::Engine::createDirectionalLight( glm::vec3 color, glm::vec3 direction )",5,4,4,1,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::createDirectionalLight( Demx::DirectionalLight* light ),4,3,3,1,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,"Demx::Engine::createPointLight( glm::vec3 color, glm::vec3 position )",5,4,4,1,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::createPointLight( Demx::PointLight* light ),3,3,3,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,"Demx::Engine::createSpotLight( glm::vec3 color, glm::vec3 position, glm::vec3 direction, GLfloat angle )",5,4,4,1,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::createSpotLight( Demx::SpotLight* light ),4,3,3,1,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,"Demx::Engine::createEntity( std::string name, std::string model )",6,6,6,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,"Demx::Engine::createEntity( std::string name, Demx::Entity* entity )",4,4,4,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::createParticleSystem( GLuint particle_number ),4,4,4,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::getCamera(),2,2,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::setCamera( Demx::Camera* c ),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,"Demx::Engine::addTexture( std::string name, std::string path )",9,7,7,1,2,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,"Demx::Engine::addMaterial( std::string name, const Demx::Material& material )",5,4,4,1,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,"Demx::Engine::addMaterial( std::string name, std::vector<std::string> textures, VEC3 specularColor, GLfloat phoneExp, GLfloat transparency )",16,12,10,2,4,0,0,0,
